Company,Title,Location,Salary,Posted,Source,URL
Mindrift,Freelance Machine Learning Engineer (Python),"Belo Horizonte, Minas Gerais, Brazil",Not Specified,2026-01-07,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4358188657
Mindrift,Freelance Machine Learning Engineer (Python),Remote,Not Specified,2026-01-07,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4358238881
Mindrift,Freelance Machine Learning AI Trainer (Python),Remote,Not Specified,2026-01-07,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4358405027
Mindrift,Freelance Machine Learning AI Trainer (Python),Remote,Not Specified,2026-01-07,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4358471260
Mindrift,Freelance Machine Learning AI Trainer (Python),Remote,Not Specified,2026-01-07,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4358298116
Mindrift,Freelance Machine Learning AI Trainer (Python),Remote,Not Specified,2026-01-07,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4358490311
Mindrift,Freelance Machine Learning AI Trainer (Python),Remote,Not Specified,2026-01-07,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4358414307
Mindrift,Freelance Machine Learning Engineer (Python),"Chennai, Tamil Nadu, India",Not Specified,2026-01-07,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4358375465
SmartAssets,AI Engineer / Machine Learning Engineer,"London, England, UK",Not Specified,2025-11-13,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4335911678
"RGB Web Tech - Web Design, Web Development, Digital Marketing, PPC and App Development Company",Python Developer,"Chandigarh, Chandigarh, India",Not Specified,2025-05-21,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4232287874
Freelancer.com Client,TikTok & YouTube Content Operator – Monetization Focus | Long-Term Collaboration,Remote (Freelance),$250 - $750,Recent,Freelancer.com,https://www.freelancer.com/projects/content-creation/tiktok-youtube-content-operator
Freelancer.com Client,Create a logo for a GenZ fashion accessories brand,Remote (Freelance),"$17
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/logo-design/create-logo-for-genz-fashion
Freelancer.com Client,Geano cafe logo for instagram,Remote (Freelance),"$30
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/contest/geano-cafe-logo-for-instagram-2692019
Freelancer.com Client,Video Special Effects & Photo Edits -- 2,Remote (Freelance),$7 - $16 / hr,Recent,Freelancer.com,https://www.freelancer.com/projects/photo-editing/video-special-effects-photo-edits-40178208
Freelancer.com Client,WIC Shopping Site with Curbside Pickup,Remote (Freelance),"$146
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/web-development/wic-shopping-site-with-curbside
Freelancer.com Client,Global Product & Merchandising Strategy,Remote (Freelance),"$16 / hr
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/market-research/global-product-merchandising-strategy
Freelancer.com Client,Modern Landing Page Development,Remote (Freelance),"$126
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/postgresql/modern-landing-page-development
Freelancer.com Client,Native English Virtual Assistant Needed,Remote (Freelance),"$29 / hr
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/appointment-setting/native-english-virtual-assistant-needed
Freelancer.com Client,Indonesian to English Formal Translation,Remote (Freelance),"$18 / hr
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/english-translation/indonesian-english-formal-translation
Freelancer.com Client,Login & Register,Remote (Freelance),"$95
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/web-design/login-register
Freelancer.com Client,Fix Facebook-Instagram Business Linking,Remote (Freelance),"$13
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/instagram-marketing/fix-facebook-instagram-business-linking
Freelancer.com Client,Engaging Facebook Content Writer,Remote (Freelance),"$10 / hr
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/facebook-marketing/engaging-facebook-content-writer
Freelancer.com Client,Fixed-Price: Launch High-Ticket Men's Coaching Program + Organic Leads Setup,Remote (Freelance),"$314
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/fixed-price-launch-high-ticket
Freelancer.com Client,Industrial Occupancy & Usage Survey,Remote (Freelance),$7 - $16,Recent,Freelancer.com,https://www.freelancer.com/projects/data-collection/industrial-occupancy-usage-survey
Freelancer.com Client,Node.js Engineer – Secure AI API Proxy,Remote (Freelance),"$260
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/api-developmet/node-engineer-secure-api-proxy
Freelancer.com Client,Revamp Squarespace Site,Remote (Freelance),"$386
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/squarespace/revamp-squarespace-site
Freelancer.com Client,Cat Prep Website Development,Remote (Freelance),"$11 / hr
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/web-development/cat-prep-website-development
